Instance, TimeLimit, Solver, Objective Value
neos-2974461-ibar.mps, 10, gurobi(exact), 637328000.0
neos-2974461-ibar.mps, 10, gurobi(heur), 637328000.0
neos-2974461-ibar.mps, 10, FJ, N/A
neos-2974461-ibar.mps, 10, highs, N/A
neos-2974461-ibar.mps, 10, cplex, 637327600.0
neos-2974461-ibar.mps, 10, Local-ILP, 637327600.0
neos-3068746-nene.mps, 10, SCIP, 69380483.345325
neos-3068746-nene.mps, 10, gurobi(exact), 61978900.0
neos-3068746-nene.mps, 10, gurobi(heur), 62099100.0
neos-3068746-nene.mps, 10, FJ, N/A
neos-3068746-nene.mps, 10, highs, N/A
neos-3068746-nene.mps, 10, cplex, 62315121.082
neos-3068746-nene.mps, 10, Local-ILP, 94572294.312
neos-3214367-sovi.mps, 10, SCIP, N/A
neos-3214367-sovi.mps, 10, gurobi(exact), N/A
neos-3214367-sovi.mps, 10, gurobi(heur), N/A
neos-3214367-sovi.mps, 10, FJ, N/A
neos-3214367-sovi.mps, 10, highs, N/A
neos-3214367-sovi.mps, 10, cplex, N/A
neos-3214367-sovi.mps, 10, Local-ILP, N/A
neos-3237086-abava.mps, 10, SCIP, N/A
neos-3237086-abava.mps, 10, gurobi(exact), N/A
neos-3237086-abava.mps, 10, gurobi(heur), N/A
neos-3237086-abava.mps, 10, FJ, N/A
neos-3237086-abava.mps, 10, highs, N/A
neos-3237086-abava.mps, 10, cplex, N/A
neos-3237086-abava.mps, 10, Local-ILP, N/A
neos-3322547-alsek.mps, 10, SCIP, N/A
neos-3322547-alsek.mps, 10, gurobi(exact), 692.0
neos-3322547-alsek.mps, 10, gurobi(heur), 692.0
neos-3322547-alsek.mps, 10, FJ, 487.0
neos-3322547-alsek.mps, 10, highs, N/A
neos-3322547-alsek.mps, 10, cplex, 1000.0
neos-3322547-alsek.mps, 10, Local-ILP, 417.0
neos-3355120-tarago.mps, 10, SCIP, N/A
neos-3355120-tarago.mps, 10, gurobi(exact), N/A
neos-3355120-tarago.mps, 10, gurobi(heur), N/A
neos-3355120-tarago.mps, 10, FJ, N/A
neos-3355120-tarago.mps, 10, highs, N/A
neos-3355120-tarago.mps, 10, cplex, N/A
neos-3355120-tarago.mps, 10, Local-ILP, N/A
neos-3355323-arnon.mps, 10, SCIP, N/A
neos-3355323-arnon.mps, 10, gurobi(exact), N/A
neos-3355323-arnon.mps, 10, gurobi(heur), N/A
neos-3355323-arnon.mps, 10, FJ, N/A
neos-3355323-arnon.mps, 10, highs, N/A
neos-3355323-arnon.mps, 10, cplex, N/A
neos-3355323-arnon.mps, 10, Local-ILP, N/A
neos-3426085-ticino.mps, 10, SCIP, 242.0
neos-3426085-ticino.mps, 10, gurobi(exact), 228.0
neos-3426085-ticino.mps, 10, gurobi(heur), 228.0
neos-3426085-ticino.mps, 10, FJ, 288.0
neos-3426085-ticino.mps, 10, highs, 235.0
neos-3426085-ticino.mps, 10, cplex, 228.0
neos-3426085-ticino.mps, 10, Local-ILP, 233.0
neos-3426132-dieze.mps, 10, SCIP, 452.0
neos-3426132-dieze.mps, 10, gurobi(exact), 434.0
neos-3426132-dieze.mps, 10, gurobi(heur), 418.0
neos-3426132-dieze.mps, 10, FJ, 542.0
neos-3426132-dieze.mps, 10, highs, 432.0
neos-3426132-dieze.mps, 10, cplex, 417.0
neos-3426132-dieze.mps, 10, Local-ILP, 426.0
neos-3530905-gaula.mps, 10, SCIP, 168.0
neos-3530905-gaula.mps, 10, gurobi(exact), 162.0
neos-3530905-gaula.mps, 10, gurobi(heur), 162.0
neos-3530905-gaula.mps, 10, FJ, 185.0
neos-3530905-gaula.mps, 10, highs, 161.0
neos-3530905-gaula.mps, 10, cplex, 159.0
neos-3530905-gaula.mps, 10, Local-ILP, 166.0
neos-3594536-henty.mps, 10, SCIP, N/A
neos-3594536-henty.mps, 10, gurobi(exact), 412996.0
neos-3594536-henty.mps, 10, gurobi(heur), 410321.0
neos-3594536-henty.mps, 10, FJ, N/A
neos-3594536-henty.mps, 10, highs, N/A
neos-3594536-henty.mps, 10, cplex, N/A
neos-3594536-henty.mps, 10, Local-ILP, 25321053206.0
neos-3603137-hoteo.mps, 10, SCIP, N/A
neos-3603137-hoteo.mps, 10, gurobi(exact), N/A
neos-3603137-hoteo.mps, 10, gurobi(heur), N/A
neos-3603137-hoteo.mps, 10, FJ, N/A
neos-3603137-hoteo.mps, 10, highs, N/A
neos-3603137-hoteo.mps, 10, cplex, N/A
neos-3603137-hoteo.mps, 10, Local-ILP, N/A
neos-3682128-sandon.mps, 10, SCIP, N/A
neos-3682128-sandon.mps, 10, gurobi(exact), 37498200.0
neos-3682128-sandon.mps, 10, gurobi(heur), 36271000.0
neos-3682128-sandon.mps, 10, FJ, N/A
